,Script,Edition,Release,Rendition,Build,Version,Description
0,Aegon,0,0,0,1,1.0,
1,Aegon,0,0,0,2,2.0,
2,Aegon,0,0,0,3,3.0,
3,Aegon,0,0,0,4,4.0,
4,Aegon,0,0,0,5,5.0,
5,Aegon,0,0,0,6,6.0,
6,Aegon,0,0,0,7,7.0,
7,Test,0,0,0,1,1.0,
8,Test,0,0,0,2,2.0,
9,Test,0,0,0,3,3.0,
10,Test,0,0,0,4,4.0,
11,Test,0,0,0,5,5.0,
12,Test,0,0,0,6,6.0,
